cisp|unidade_territorial|municipio|regiao_de_governo
9|Catete; Cosme Velho; Flamengo; Glória e Laranjeiras|Rio de Janeiro|Metropolitana
10|Botafogo; Humaitá e Urca|Rio de Janeiro|Metropolitana
23|Cachambi; Méier (parte) e Todos os Santos (parte)|Rio de Janeiro|Metropolitana
24|Abolição; Água Santa (parte); Encantado; Engenho de Dentro (parte); Pilares e Piedade|Rio de Janeiro|Metropolitana
25|Engenho Novo; Jacaré; Jacarezinho; Riachuelo; Rocha; Sampaio e São Francisco Xavier|Rio de Janeiro|Metropolitana
26|Água Santa (parte); Engenho de Dentro (parte); Lins de Vasconcelos e Todos os Santos|Rio de Janeiro|Metropolitana
44|Del Castilho; Engenho da Rainha; Inhaúma; Maria da Graça e Tomás Coelho|Rio de Janeiro|Metropolitana
6|Catumbi; Cidade Nova; Estácio; Rio Comprido e Centro (parte)|Rio de Janeiro|Metropolitana
17|Caju; Mangueira; São Cristóvão e Vasco da Gama|Rio de Janeiro|Metropolitana
1|Centro (parte)|Rio de Janeiro|Metropolitana
4|Centro (parte); Gamboa; Santo Cristo e Saúde|Rio de Janeiro|Metropolitana
5|Centro (parte); Lapa e Paquetá|Rio de Janeiro|Metropolitana
7|Santa Teresa|Rio de Janeiro|Metropolitana
18|Maracanã; Praça da Bandeira e Tijuca (parte)|Rio de Janeiro|Metropolitana
19|Alto da Boa Vista e Tijuca (parte)|Rio de Janeiro|Metropolitana
20|Andaraí; Grajaú e Vila Isabel|Rio de Janeiro|Metropolitana
22|Brás de Pina (parte); Olaria; Penha e Penha Circular (parte)|Rio de Janeiro|Metropolitana
38|Brás de Pina (parte); Cordovil; Jardim América; Parada de Lucas;Penha Circular (parte) e Vigário Geral|Rio de Janeiro|Metropolitana
37|Bancários; Cacuia; Cidade Universitária; Cocotá; Freguesia; Galeão; Jardim Carioca; Jardim Guanabara; Moneró; Pitangueiras; Portuguesa; Praia da Bandeira; Ribeira; Tauá e Zumbi|Rio de Janeiro|Metropolitana
