ano,mes,mes_char,total,letalidade_violenta,hom_doloso,lesao_corp_morte,latrocinio,cvli,hom_por_interv_policial,feminicidio,pol_militares_mortos_serv,pol_civis_mortos_serv,total_roubos,total_furtos,roubo_carga,roubo_veiculo,roubo_rua,roubo_transeunte,roubo_celular,roubo_em_coletivo,estelionato,extorsao,apreensao_drogas,apf,aaapai,pol_mortos_serv
2003,1,Janeiro,44793,705,589,6,20,615,90,0.0,3,2,10296,10483,357,3236,3051,1427,966,658,885,23,1003,0.0,0.0,5
2003,2,Fevereiro,45403,710,583,4,12,599,111,0.0,2,0,10634,10335,443,3169,3186,1532,963,691,802,29,1159,0.0,0.0,2
2003,3,Março,45417,747,613,5,16,634,113,0.0,7,1,9976,10976,310,2923,3202,1537,982,683,821,30,1133,0.0,0.0,8
2003,4,Abril,44184,735,585,11,14,610,125,0.0,4,1,10222,10409,303,2966,3160,1529,1007,624,819,41,1061,0.0,0.0,5
2003,5,Maio,45572,721,599,6,20,625,96,0.0,4,1,10875,10414,345,3167,3293,1558,1072,663,874,57,1019,0.0,0.0,5
2003,6,Junho,44092,648,546,2,14,562,86,0.0,3,1,9478,9203,312,2686,2929,1426,963,540,859,59,1124,0.0,0.0,4
2003,7,Julho,44673,652,527,8,17,552,100,0.0,1,1,9456,9602,324,2541,2839,1395,1018,426,977,48,1207,0.0,0.0,2
2003,8,Agosto,42511,608,500,4,10,514,94,0.0,4,0,9290,9235,306,2520,2880,1491,1040,349,900,50,1165,0.0,0.0,4
2003,9,Setembro,44508,634,512,4,16,532,102,0.0,2,0,9694,9667,271,2524,3083,1504,1202,377,966,77,1135,0.0,0.0,2
2003,10,Outubro,45199,638,489,1,16,506,132,0.0,4,0,9907,9690,363,2701,3079,1457,1277,345,1014,121,1192,0.0,0.0,4
2003,11,Novembro,44024,618,528,3,12,543,75,0.0,4,0,9141,9528,327,2429,2939,1443,1130,366,954,88,1174,0.0,0.0,4
2003,12,Dezembro,45787,638,553,2,12,567,71,0.0,5,0,9865,9991,412,2669,3028,1585,1140,303,844,88,978,0.0,0.0,5
2004,1,Janeiro,45289,671,578,4,12,594,77,0.0,1,0,9737,10308,292,2673,3009,1384,1304,321,963,95,1079,0.0,0.0,1
2004,2,Fevereiro,42331,626,540,5,16,561,65,0.0,6,0,9066,10019,279,2292,2911,1431,1076,404,841,87,1041,0.0,0.0,6
2004,3,Março,47564,628,529,1,17,547,81,0.0,4,0,10522,10657,388,2777,3377,1529,1392,456,1047,124,997,0.0,0.0,4
2004,4,Abril,44907,604,514,1,21,536,68,0.0,3,0,9925,9724,422,2894,3340,1890,996,454,998,78,959,0.0,0.0,3
2004,5,Maio,46305,731,605,5,18,628,103,0.0,6,0,9880,9943,480,3059,3472,1692,1396,384,1031,126,1113,0.0,0.0,6
2004,6,Junho,44850,591,502,1,13,516,75,0.0,3,0,9405,9805,419,2789,3404,1594,1371,439,1102,110,1089,0.0,0.0,3
2004,7,Julho,45077,591,505,2,15,522,69,0.0,7,0,9465,9440,367,2851,3419,1763,1069,587,1097,55,982,0.0,0.0,7
2004,8,Agosto,47004,631,521,6,14,541,90,0.0,2,0,8467,9635,305,2494,3314,1946,799,569,1070,77,1090,0.0,0.0,2
2004,9,Setembro,46447,616,507,2,21,530,86,0.0,0,0,8201,9347,352,2610,3245,2059,475,711,980,68,944,0.0,0.0,0
2004,10,Outubro,46514,655,522,6,13,541,114,0.0,10,0,8645,9647,408,2745,3412,2268,388,756,1089,86,937,0.0,0.0,10
2004,11,Novembro,46496,682,570,4,18,592,90,0.0,1,0,8745,9910,428,2645,3434,2281,437,716,1141,103,914,0.0,0.0,1
2004,12,Dezembro,47478,619,545,2,7,554,65,0.0,7,0,8845,10335,574,2579,3499,2419,381,699,1225,149,862,0.0,0.0,7
2005,1,Janeiro,47294,704,607,6,19,632,72,0.0,1,0,8747,10880,402,2747,3515,2424,441,650,1196,173,979,0.0,0.0,1
2005,2,Fevereiro,44168,694,619,4,12,635,59,0.0,3,1,8703,10233,421,2610,3561,2537,410,614,1016,191,840,0.0,0.0,4
2005,3,Março,50182,804,682,2,26,710,94,0.0,4,1,10195,10998,442,3056,4240,2876,553,811,1277,235,1011,0.0,0.0,5
2005,4,Abril,49051,611,526,3,15,544,67,0.0,3,1,9904,10400,357,3051,4142,2701,589,852,1182,271,967,0.0,0.0,4
2005,5,Maio,49975,679,561,6,19,586,93,0.0,1,2,10264,10899,359,2999,4542,3026,624,892,1382,251,987,0.0,0.0,3
2005,6,Junho,49133,626,488,5,17,510,116,0.0,1,0,9497,10708,397,2522,4468,3018,624,826,1375,269,973,0.0,0.0,1
2005,7,Julho,46539,697,580,5,22,607,90,0.0,1,0,9434,10492,351,2442,4494,3041,610,843,1413,163,981,0.0,0.0,1
2005,8,Agosto,50486,705,562,6,18,586,119,0.0,1,0,9792,11431,400,2457,4737,3253,701,783,1485,142,1073,0.0,0.0,1
2005,9,Setembro,47128,660,533,4,12,549,111,0.0,2,2,8835,9288,341,2636,4380,3049,563,768,1365,124,984,0.0,0.0,4
2005,10,Outubro,50144,627,503,4,15,522,105,0.0,1,0,9457,10021,312,2777,4848,3436,641,771,1240,126,1017,0.0,0.0,1
2005,11,Novembro,47712,615,495,9,16,520,95,0.0,3,0,9306,10183,344,2781,4733,3362,592,779,1458,124,893,0.0,0.0,3
2005,12,Dezembro,49604,565,464,5,19,488,77,0.0,3,2,9303,10800,496,2612,4678,3357,565,756,1497,151,1056,0.0,0.0,5
2006,1,Janeiro,51469,562,480,4,12,496,66,0.0,1,0,9284,11249,345,2660,4809,3421,560,828,1480,172,1061,1265.0,334.0,1
2006,2,Fevereiro,49979,615,521,4,20,545,70,0.0,2,0,9474,11410,386,2840,4605,3347,530,728,1337,172,1009,1382.0,360.0,2
2006,3,Março,51043,728,607,6,23,636,92,0.0,4,0,9865,10953,369,3087,4838,3499,570,769,1463,168,879,1367.0,395.0,4
2006,4,Abril,50239,713,579,3,30,612,101,0.0,3,0,10895,11095,371,3098,5639,4009,694,936,1276,137,921,1378.0,319.0,3
2006,5,Maio,51647,654,548,4,13,565,89,0.0,3,1,11138,11603,393,3223,5853,4104,808,941,1540,122,994,1320.0,293.0,4
2006,6,Junho,48803,594,475,7,10,492,102,0.0,2,0,10055,10936,339,2740,5429,3812,725,892,1443,92,924,1212.0,299.0,2
2006,7,Julho,50777,586,478,5,15,498,88,0.0,3,1,10024,11790,341,2627,5524,3898,702,924,1586,82,1038,1261.0,272.0,4
2006,8,Agosto,52511,615,471,6,14,491,124,0.0,2,0,10224,12049,391,2662,5597,3959,754,884,1607,107,1005,1308.0,289.0,2
2006,9,Setembro,49377,618,521,3,19,543,75,0.0,2,0,10217,10864,371,2877,5464,3912,692,860,1553,117,939,1331.0,273.0,2
2006,10,Outubro,51934,654,552,2,13,567,87,0.0,0,0,11259,12862,395,2939,5783,4197,680,906,1735,219,839,1361.0,288.0,0
2006,11,Novembro,50619,638,527,7,16,550,88,0.0,1,0,11071,12870,424,2871,5657,4150,642,865,1690,254,786,1240.0,296.0,1
2006,12,Dezembro,50853,672,564,4,23,591,81,0.0,4,0,10581,13193,441,2700,5467,4032,605,830,1584,219,692,1173.0,237.0,4
2007,1,Janeiro,51514,657,526,7,7,540,117,0.0,1,0,10958,13471,414,2843,5716,4270,607,839,1860,144,805,1315.0,291.0,1
2007,2,Fevereiro,49494,590,486,3,11,500,90,0.0,2,0,10330,13302,309,2578,5500,4201,537,762,1658,81,824,1282.0,273.0,2
2007,3,Março,56991,781,640,8,22,670,111,0.0,6,1,12689,13373,506,3348,6547,4861,690,996,1932,140,886,1333.0,331.0,7
2007,4,Abril,51559,721,572,3,15,590,131,0.0,1,0,11527,12209,374,2785,6338,4809,654,875,1659,114,825,1386.0,329.0,1
2007,5,Maio,53550,623,466,3,17,486,137,0.0,5,0,12155,13387,392,2783,6878,5232,686,960,2036,68,899,1598.0,344.0,5
2007,6,Junho,51486,573,445,3,17,465,108,0.0,0,0,11494,12622,376,2547,6597,5080,648,869,1908,50,837,1431.0,281.0,0
2007,7,Julho,50595,551,457,3,10,470,81,0.0,1,0,10439,12355,338,2288,5882,4534,564,784,1943,89,846,1574.0,244.0,1
2007,8,Agosto,53477,668,524,3,14,541,127,0.0,1,2,11625,13010,342,2470,6806,5253,640,913,2019,92,846,1482.0,297.0,3
2007,9,Setembro,52666,589,447,1,16,464,125,0.0,0,2,11357,12887,327,2375,6729,5197,698,834,1836,93,770,1557.0,277.0,2
2007,10,Outubro,55307,623,486,1,23,510,113,0.0,1,2,11818,13711,324,2462,6996,5476,674,846,2024,103,862,1499.0,333.0,3
2007,11,Novembro,51733,658,528,3,17,548,110,0.0,4,2,11318,13101,383,2501,6573,5229,581,763,1857,91,847,1523.0,302.0,6
2007,12,Dezembro,53312,665,556,6,23,585,80,0.0,1,0,11712,13722,387,2510,6775,5352,613,810,1766,77,698,1402.0,225.0,1
2008,1,Janeiro,55329,663,538,5,11,554,109,0.0,1,0,12060,14530,352,2496,7163,5651,684,828,2115,113,727,1363.0,265.0,1
2008,2,Fevereiro,52685,640,505,5,21,531,109,0.0,1,0,11622,14585,238,2400,6999,5483,680,836,1851,173,737,1451.0,279.0,1
2008,3,Março,54890,690,527,2,21,550,140,0.0,2,0,11587,13518,274,2401,6995,5377,699,919,2180,149,882,1490.0,260.0,2
2008,4,Abril,53085,639,475,4,13,492,147,0.0,2,0,11376,13355,269,2179,7091,5538,630,923,2161,132,854,1510.0,268.0,2
2008,5,Maio,53450,583,412,2,22,436,147,0.0,0,0,11634,14081,302,2251,7208,5703,649,856,2081,140,848,1532.0,294.0,0
2008,6,Junho,52578,530,402,4,19,425,105,0.0,3,1,11265,13827,225,2100,7047,5548,728,771,2012,122,842,1507.0,263.0,4
2008,7,Julho,54643,500,413,4,21,438,62,0.0,3,0,11768,14166,258,2207,7349,5918,696,735,2056,142,717,1559.0,276.0,3
2008,8,Agosto,54629,488,430,10,18,458,30,0.0,2,0,11749,14023,237,2307,7104,5602,717,785,2012,121,703,1428.0,263.0,2
2008,9,Setembro,54732,526,435,4,25,464,62,0.0,2,0,11736,13909,226,2308,7219,5625,798,796,1858,134,776,1384.0,294.0,2
2008,10,Outubro,59018,656,557,1,24,582,74,0.0,4,1,13053,14828,278,2630,8015,6186,907,922,1878,150,797,1645.0,303.0,5
2008,11,Novembro,54772,623,516,2,24,542,81,0.0,1,1,11406,13771,213,2231,7051,5551,719,781,1750,121,866,1547.0,298.0,2
2008,12,Dezembro,54934,596,507,2,16,525,71,0.0,1,1,11919,14352,300,2337,7333,5857,707,769,1731,206,688,1501.0,261.0,2
2009,1,Janeiro,56360,660,551,2,13,566,94,0.0,3,0,12332,14685,212,2573,7692,6145,718,829,1752,73,830,1683.0,307.0,3
2009,2,Fevereiro,55116,654,556,4,19,579,75,0.0,3,2,12245,14728,188,2367,7726,6279,659,788,1644,123,854,1584.0,319.0,5
2009,3,Março,61430,726,588,5,30,623,103,0.0,2,1,13463,14929,236,2564,8394,6686,782,926,1975,128,980,1923.0,323.0,3
2009,4,Abril,55492,674,542,3,27,572,102,0.0,1,2,12331,13570,226,2310,7849,6369,711,769,1609,118,856,1851.0,357.0,3
2009,5,Maio,57585,616,522,0,14,536,80,0.0,3,2,12573,14433,236,2340,8085,6506,799,780,1956,112,878,1821.0,326.0,5
2009,6,Junho,54415,563,439,6,11,456,107,0.0,4,0,11870,13536,221,1968,7845,6277,766,802,1892,120,827,1652.0,265.0,4
2009,7,Julho,55197,505,397,3,18,418,87,0.0,1,0,11601,13962,206,1982,7558,6063,758,737,2064,95,873,1644.0,280.0,1
2009,8,Agosto,54526,522,432,3,12,447,75,0.0,0,0,10910,13768,228,1928,6963,5557,661,745,1948,96,985,1932.0,327.0,0
2009,9,Setembro,54919,536,433,3,18,454,82,0.0,2,0,10291,14027,217,1728,6701,5354,687,660,1918,100,1052,1826.0,369.0,2
2009,10,Outubro,53531,534,419,1,21,441,93,0.0,3,0,10203,13728,187,1758,6624,5247,701,676,1812,85,1005,1804.0,382.0,3
2009,11,Novembro,56000,531,438,4,13,455,76,0.0,0,0,10164,14040,224,1688,6597,5336,636,625,1752,95,922,1705.0,325.0,0
2009,12,Dezembro,55145,585,476,10,25,511,74,0.0,2,0,10297,14839,269,1830,6461,5247,621,593,1697,77,928,1724.0,316.0,2
2010,1,Janeiro,56534,549,447,6,19,472,77,0.0,3,3,10347,14850,234,1945,6482,5292,622,568,1716,89,891,1763.0,385.0,6
2010,2,Fevereiro,56299,544,473,3,6,482,62,0.0,1,0,10048,16356,221,1739,6489,5361,546,582,1628,65,865,1664.0,326.0,1
2010,3,Março,59907,594,492,4,17,513,81,0.0,0,0,11647,15542,229,2041,7524,6036,693,795,2249,169,933,1861.0,397.0,0
2010,4,Abril,53658,547,432,2,11,445,102,0.0,0,0,10497,13795,181,1784,6871,5581,574,716,1813,140,871,1803.0,395.0,0
2010,5,Maio,58057,488,361,7,11,379,109,0.0,1,0,10649,15170,215,1648,7090,5749,650,691,2215,122,1038,2031.0,409.0,1
2010,6,Junho,53942,440,347,7,12,366,74,0.0,0,0,9795,14264,212,1699,6365,5083,613,669,2032,107,1006,1675.0,347.0,0
2010,7,Julho,55674,397,324,3,12,339,58,0.0,3,0,9881,14152,209,1666,6516,5143,589,784,2096,99,1044,1718.0,363.0,3
2010,8,Agosto,56596,394,344,8,12,364,30,0.0,0,1,9634,14371,184,1558,6404,5166,543,695,2094,119,1071,1916.0,376.0,1
2010,9,Setembro,54971,416,360,1,21,382,34,0.0,2,1,9718,13861,211,1489,6461,5200,590,671,2035,113,1080,1733.0,399.0,3
2010,10,Outubro,56358,500,406,7,16,429,71,0.0,0,0,10032,14086,170,1590,6638,5266,607,765,1946,122,1220,1924.0,425.0,0
2010,11,Novembro,54447,474,364,1,7,372,102,0.0,2,0,9162,13470,266,1413,6089,4925,518,646,2150,135,1391,1993.0,451.0,2
2010,12,Dezembro,57604,485,417,1,12,430,55,0.0,3,0,8890,14859,287,1480,5607,4544,443,620,2079,129,1135,1905.0,341.0,3
2011,1,Janeiro,57852,500,425,5,9,439,61,0.0,0,0,9203,15014,231,1567,5892,4771,505,616,2025,143,1068,1858.0,409.0,0
2011,2,Fevereiro,57840,416,368,2,7,377,39,0.0,0,0,9137,15181,234,1490,5846,4742,516,588,2121,144,1094,1874.0,405.0,0
2011,3,Março,62560,464,381,6,9,396,68,0.0,1,2,9716,17300,226,1544,6351,5215,515,621,2267,148,1283,2434.0,501.0,3
2011,4,Abril,58691,484,403,7,6,416,68,0.0,0,0,9132,14789,239,1491,5780,4687,495,598,2119,144,1370,2432.0,552.0,0
2011,5,Maio,59364,455,368,3,10,381,74,0.0,2,0,8923,15237,273,1462,5695,4640,496,559,2636,222,1409,2370.0,556.0,2
2011,6,Junho,56247,389,307,2,18,327,62,0.0,0,0,8515,14150,247,1439,5380,4433,445,502,2465,186,1246,1982.0,447.0,0
2011,7,Julho,56198,376,331,2,6,339,37,0.0,1,0,8900,13814,221,1604,5577,4562,482,533,2528,192,1291,2111.0,442.0,1
2011,8,Agosto,59713,402,371,2,11,384,18,0.0,0,0,9114,14321,253,1642,5720,4725,458,537,2788,194,1291,2136.0,462.0,0
2011,9,Setembro,56593,358,323,4,8,335,23,0.0,3,0,8884,14175,242,1629,5480,4527,407,546,2611,157,1287,2049.0,486.0,3
2011,10,Outubro,56597,351,318,2,11,331,20,0.0,0,1,8535,13805,257,1695,5045,4137,397,511,2471,135,1188,2037.0,438.0,1
2011,11,Novembro,55043,384,339,2,10,351,33,0.0,0,0,8258,13576,300,1595,4885,4076,372,437,2598,153,1359,2185.0,539.0,0
2011,12,Dezembro,59577,381,345,3,13,361,20,0.0,0,2,8371,14638,350,1615,4884,4163,303,418,2617,115,1387,2270.0,533.0,2
2012,1,Janeiro,58558,381,329,2,12,343,38,0.0,0,1,8425,15186,299,1630,4873,4094,362,417,2560,166,1379,2239.0,497.0,1
2012,2,Fevereiro,61283,446,395,2,14,411,35,0.0,0,0,9321,17863,288,1981,5370,4533,379,458,2328,123,1171,2139.0,477.0,0
2012,3,Março,62187,451,394,2,17,413,38,0.0,1,0,9439,15356,348,2026,5258,4372,407,479,2857,151,1549,2309.0,564.0,1
2012,4,Abril,58264,396,342,2,7,351,45,0.0,2,1,9079,14367,298,2066,5077,4286,372,419,2346,133,1627,2396.0,569.0,3
2012,5,Maio,62143,398,346,1,10,357,41,0.0,2,1,9674,15546,342,2047,5581,4676,410,495,2809,205,1724,2501.0,617.0,3
2012,6,Junho,57356,350,318,4,9,331,19,0.0,1,0,8412,13821,287,1743,4826,4047,355,424,2478,243,1736,2416.0,620.0,1
2012,7,Julho,61308,367,298,5,15,318,49,0.0,2,0,8461,14652,265,1688,4947,4163,407,377,3245,196,1678,2311.0,589.0,2
2012,8,Agosto,60926,350,294,1,11,306,44,0.0,0,0,8456,14728,328,1751,4757,4041,371,345,3248,140,1644,2361.0,627.0,0
2012,9,Setembro,56387,359,331,0,13,344,15,0.0,2,0,7740,13312,247,1754,4238,3553,337,348,2631,108,1437,2091.0,526.0,2
2012,10,Outubro,62040,363,314,0,18,332,31,0.0,1,0,8310,14725,315,1762,4728,4029,349,350,3182,135,1545,2268.0,678.0,1
2012,11,Novembro,56523,373,325,2,8,335,38,0.0,0,1,8133,14016,288,1728,4572,3898,312,362,3031,127,1678,2306.0,741.0,1
2012,12,Dezembro,61758,432,395,3,8,406,26,0.0,3,0,8325,15167,351,1889,4536,3868,301,367,2848,110,1522,2356.0,687.0,3
2013,1,Janeiro,61491,439,397,2,11,410,29,0.0,0,0,8976,16111,336,1946,5105,4352,348,405,3328,166,1751,2496.0,788.0,0
2013,2,Fevereiro,64179,428,389,4,6,399,29,0.0,1,0,9178,17555,258,1909,5471,4678,372,421,2780,138,1866,2854.0,859.0,1
