ano,total,letalidade_violenta,hom_doloso,total_roubos,roubo_veiculo,roubo_rua,roubo_carga,latrocinio,feminicidio,apreensao_drogas,pol_mortos_serv,estelionato,hom_por_interv_policial,lesao_corp_morte,apf,aaapai,roubo_transeunte,roubo_celular,total_ant,letalidade_violenta_ant,hom_doloso_ant,roubos_ant,roubo_veiculo_ant,roubo_rua_ant,roubo_carga_ant,latrocinio_ant,feminicidio_ant,estelionato_ant,apreensao_drogas_ant,pol_mortos_serv_ant,hom_por_interv_policial_ant,lesao_corp_morte_ant,apf_ant,aaapai_ant,roubo_transeunte_ant,roubo_celular_ant,var_total,var_letalidade_violenta,var_hom_doloso,var_roubos,var_roubo_veiculo,var_roubo_rua,var_roubo_carga,var_latrocinio,var_feminicidio,var_estelionato,var_apreensao_drogas,var_pol_mortos_serv,var_hom_por_interv_policial,var_lesao,var_apf,var_aaapai,var_rtranseunte,var_rcelular,color_let,color_hom,color_roubo,color_veic,color_rua
2003,536.163,8.05,6.62,118.83,33.53,36.67,4.07,179.0,0.0,13.35,50.0,10.72,1195.0,56.0,0.0,0.0,17884.0,12760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,#e8816e,#e8816e,#e8816e,#e8816e,#e8816e
2004,550.262,7.64,6.44,110.9,32.41,39.84,4.71,185.0,0.0,12.01,50.0,12.58,983.0,39.0,0.0,0.0,22256.0,11084.0,536163.0,8054.0,6624.0,118834.0,33531.0,36669.0,4073.0,179.0,0.0,10715.0,13350.0,50.0,1195.0,56.0,0.0,0.0,17884.0,12760.0,2.6,-5.1,-2.8,-6.7,-3.3,8.6,15.7,3.4,,17.4,-10.1,0.0,0.0,-30.4,,,24.4,-13.1,#4c60d6,#4c60d6,#4c60d6,#4c60d6,#e8816e
2005,581.416,7.99,6.62,113.44,32.69,52.34,4.62,210.0,0.0,11.76,33.0,15.89,1098.0,59.0,0.0,0.0,36080.0,6913.0,550262.0,7645.0,6438.0,110903.0,32408.0,39836.0,4714.0,185.0,0.0,12584.0,12007.0,50.0,983.0,39.0,0.0,0.0,22256.0,11084.0,5.7,4.5,2.8,2.3,0.9,31.4,-2.0,13.5,,26.2,-2.0,-34.0,0.0,51.3,,,62.1,-37.6,#e8816e,#e8816e,#e8816e,#e8816e,#e8816e
2006,609.251,7.65,6.32,124.09,34.32,64.67,4.57,208.0,0.0,11.09,29.0,18.29,1063.0,55.0,15598.0,3655.0,46340.0,7962.0,581416.0,7987.0,6620.0,113437.0,32690.0,52338.0,4622.0,210.0,0.0,15886.0,11761.0,33.0,1098.0,59.0,0.0,0.0,36080.0,6913.0,4.8,-4.2,-4.5,9.4,5.0,23.6,-1.2,-1.0,,15.2,-5.7,-12.1,0.0,-6.8,inf,inf,28.4,15.2,#4c60d6,#4c60d6,#e8816e,#e8816e,#e8816e
2007,631.684,7.7,6.13,137.42,31.49,77.34,4.47,192.0,0.0,9.94,32.0,22.5,1330.0,44.0,17382.0,3527.0,59494.0,7592.0,609251.0,7649.0,6323.0,124087.0,34324.0,64665.0,4566.0,208.0,0.0,18294.0,11087.0,29.0,1063.0,55.0,15598.0,3655.0,46340.0,7962.0,3.7,0.7,-3.0,10.7,-8.3,19.6,-2.1,-7.7,,23.0,-10.3,10.3,0.0,-20.0,11.4,-3.5,28.4,-4.6,#e8816e,#4c60d6,#e8816e,#4c60d6,#e8816e
2008,654.745,7.13,5.72,141.18,27.85,86.57,3.17,235.0,0.0,9.44,26.0,23.68,1137.0,45.0,17917.0,3324.0,68039.0,8614.0,631684.0,7699.0,6133.0,137422.0,31490.0,77337.0,4472.0,192.0,0.0,22498.0,9945.0,32.0,1330.0,44.0,17382.0,3527.0,59494.0,7592.0,3.7,-7.3,-6.8,2.7,-11.6,11.9,-29.1,22.4,,5.3,-5.1,-18.8,0.0,2.3,3.1,-5.8,14.4,13.5,#4c60d6,#4c60d6,#e8816e,#4c60d6,#e8816e
2009,669.716,7.11,5.79,138.28,25.04,88.5,2.65,221.0,0.0,10.99,31.0,22.02,1048.0,44.0,21149.0,3896.0,71066.0,8499.0,654745.0,7134.0,5717.0,141175.0,27847.0,86574.0,3172.0,235.0,0.0,23685.0,9437.0,26.0,1137.0,45.0,17917.0,3324.0,68039.0,8614.0,2.3,-0.4,1.3,-2.1,-10.1,2.2,-16.5,-6.0,,-7.0,16.5,19.2,0.0,-2.2,18.0,17.2,4.4,-1.3,#4c60d6,#e8816e,#4c60d6,#4c60d6,#e8816e
2010,674.047,5.83,4.77,120.3,20.05,78.54,2.62,156.0,0.0,12.54,20.0,24.05,855.0,50.0,21986.0,4614.0,63346.0,6988.0,669716.0,7106.0,5793.0,138280.0,25036.0,88495.0,2650.0,221.0,0.0,22019.0,10990.0,31.0,1048.0,44.0,21149.0,3896.0,71066.0,8499.0,0.6,-18.0,-17.7,-13.0,-19.9,-11.3,-1.2,-29.4,,9.2,14.1,-35.5,0.0,13.6,4.0,18.4,-10.9,-17.8,#4c60d6,#4c60d6,#4c60d6,#4c60d6,#4c60d6
2011,696.275,4.96,4.28,106.69,18.77,66.54,3.07,118.0,0.0,15.27,12.0,29.25,523.0,40.0,25738.0,5770.0,54678.0,5391.0,674047.0,5828.0,4767.0,120300.0,20052.0,78536.0,2619.0,156.0,0.0,24053.0,12545.0,20.0,855.0,50.0,21986.0,4614.0,63346.0,6988.0,3.3,-14.9,-10.2,-11.3,-6.4,-15.3,17.3,-24.4,,21.6,21.7,-40.0,0.0,-20.0,17.1,25.1,-13.7,-22.9,#4c60d6,#4c60d6,#4c60d6,#4c60d6,#4c60d6
2012,718.733,4.67,4.08,103.78,22.06,58.76,3.66,142.0,0.0,18.69,18.0,33.56,419.0,24.0,27693.0,7192.0,49560.0,4362.0,696275.0,4960.0,4279.0,106688.0,18773.0,66535.0,3073.0,118.0,0.0,29246.0,15273.0,12.0,523.0,40.0,25738.0,5770.0,54678.0,5391.0,3.2,-5.9,-4.6,-2.7,17.5,-11.7,19.0,20.3,,14.8,22.4,50.0,0.0,-40.0,7.6,24.6,-9.4,-19.1,#4c60d6,#4c60d6,#4c60d6,#e8816e,#4c60d6
