ano,risp,risp_desc,letalidade_violenta,roubo_carga,roubo_veiculo,roubo_rua
2024,1,"Capital (Zona Sul, Centro e parte da Norte)",443,923,8161,21139
2024,2,Capital (Zona Oeste e parte da Norte),932,846,9141,16276
2024,3,Baixada Fluminense,1077,1334,10921,15799
2024,4,Grande Niterói e Região dos Lagos,579,304,2461,4319
2024,5,Sul Fluminense,304,8,91,230
2024,6,Norte Fluminense e Noroeste,343,10,128,620
2024,7,Região Serrana,131,12,27,138
2025,1,"Capital (Zona Sul, Centro e parte da Norte)",546,686,4951,20734
2025,2,Capital (Zona Oeste e parte da Norte),988,810,8762,17495
2025,3,Baixada Fluminense,1049,1287,8722,13803
2025,4,Grande Niterói e Região dos Lagos,515,304,2542,4026
2025,5,Sul Fluminense,322,4,54,148
2025,6,Norte Fluminense e Noroeste,338,17,170,607
2025,7,Região Serrana,123,6,38,124
